variable;register;weight
1;3;113
2;2;12
3;6;2
4;2;3
5;6;2
6;5;103
7;1;114
8;4;23
9;8;314
10;6;130
11;1;105
12;3;3
13;3;15
14;4;120
15;7;5
16;8;13
17;4;4
18;6;11
19;3;115
20;3;112
21;0;4
22;1;103
23;2;3
24;5;11
25;2;105
26;5;10
27;3;202
28;7;24
29;0;3
30;2;115
31;1;43
32;5;113
33;4;22
34;1;113
35;2;3
36;2;202
37;1;2
38;4;3
39;3;202
40;6;12
41;3;115
42;1;23
43;0;2
44;2;223
45;1;113
46;1;4
47;2;13
48;1;15
49;1;3
50;1;101
