run_id;algorithm;instance;n;k;m;seed;max_iterations;iteration;time_ms;current_cost;best_cost;note
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;0;7;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;1;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;2;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;3;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;4;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;5;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;6;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;7;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;8;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;9;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;10;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;11;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;12;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;13;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;14;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;15;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;16;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;17;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;18;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;19;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;20;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;21;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;22;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;23;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;24;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;25;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;26;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;27;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;28;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;29;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;30;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;31;8;0;0;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;32;8;2;2;spill_candidate
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;33;8;6;6;spill_candidate
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;34;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;35;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;36;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;37;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;38;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;39;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;40;8;6;6;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;41;8;9;9;spill_candidate
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;42;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;43;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;44;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;45;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;46;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;47;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;48;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;49;8;9;9;simplify
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;50;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;51;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;52;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;53;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;54;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;55;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;56;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;57;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;58;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;59;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;60;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;61;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;62;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;63;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;64;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;65;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;66;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;67;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;68;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;69;8;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;70;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;71;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;72;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;73;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;74;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;75;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;76;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;77;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;78;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;79;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;80;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;81;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;82;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;83;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;84;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;85;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;86;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;87;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;88;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;89;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;90;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;91;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;92;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;93;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;94;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;95;9;9;9;color
20260512_230236_chaitin_baseline;chaitin_baseline;instance.txt;50;8;212;0;100;96;9;9;9;color
