run_id;algorithm;instance_id;instance_path;graph;n;k;m;density;instance_seed;algorithm_seed;budget;iteration;time_ms;current_cost;best_cost;avg_cost;std_cost;note
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;0;21;77135;77135;192765.485;51924.95996;init
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;1;34;64507;64507;165073.96;43521.784;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;2;44;38803;38803;147697.975;41270.86633;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;3;54;38803;38803;129887.66;43044.7348;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;4;66;38803;38803;122814.785;37166.48044;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;5;76;26024;26024;121349.64;37286.34318;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;6;82;26024;26024;110826.175;39502.09741;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;7;89;26024;26024;94704.34;36586.96154;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;8;101;13212;13212;80416.47;31731.69858;generation
0012_ea_general_inst03_chordal_n60_k8_d065_s1003_s42;ea_general;inst03_chordal_n60_k8_d065_s1003;experiments\20260618_124336_best_configs\instances\inst03_chordal_n60_k8_d065_s1003.txt;chordal;60;8;148;0.65;1003;42;50000;9;111;13212;13212;68459.825;27279.91653;generation
