variable;register;weight
1;4;102
2;1;121
3;5;104
4;7;102
5;5;113
6;5;4
7;4;3
8;1;24
9;3;11
10;0;2
11;6;15
12;7;14
13;2;14
14;4;26
15;5;2
16;5;24
17;7;36
18;2;22
19;6;32
20;2;45
21;3;36
22;4;33
23;3;15
24;3;23
25;4;105
26;2;202
27;2;123
28;4;2
29;2;3
30;6;4
31;3;202
32;6;5
33;5;35
34;4;3
35;4;25
36;3;110
37;3;32
38;1;5
39;2;2
40;2;125
41;6;33
42;5;3
43;1;213
44;1;103
45;3;11
46;2;112
47;1;12
48;1;11
49;1;104
50;1;2
