variable;register;weight
1;7;102
2;3;121
3;1;104
4;8;102
5;1;113
6;1;4
7;2;3
8;2;24
9;2;11
10;2;2
11;6;15
12;3;14
13;5;14
14;7;26
15;8;2
16;6;24
17;8;36
18;1;22
19;6;32
20;2;45
21;7;36
22;3;33
23;7;15
24;2;23
25;5;105
26;8;202
27;5;123
28;7;2
29;7;3
30;6;4
31;6;202
32;6;5
33;3;35
34;4;3
35;7;25
36;5;110
37;5;32
38;4;5
39;6;2
40;4;125
41;1;33
42;1;3
43;7;213
44;3;103
45;1;11
46;4;112
47;2;12
48;5;11
49;6;104
50;2;2
