variable;register;weight
1;8;102
2;7;121
3;8;104
4;1;102
5;1;113
6;5;4
7;5;3
8;4;24
9;4;11
10;8;2
11;6;15
12;2;14
13;6;14
14;4;26
15;3;2
16;2;24
17;1;36
18;7;22
19;0;32
20;3;45
21;6;36
22;1;33
23;4;15
24;3;23
25;5;105
26;3;202
27;4;123
28;7;2
29;7;3
30;3;4
31;2;202
32;5;5
33;1;35
34;4;3
35;2;25
36;6;110
37;6;32
38;1;5
39;6;2
40;2;125
41;6;33
42;3;3
43;7;213
44;1;103
45;2;11
46;5;112
47;6;12
48;8;11
49;8;104
50;7;2
