variable;register;weight
1;8;13
2;5;4
3;8;112
4;7;103
5;7;13
6;5;6
7;4;206
8;6;101
9;7;3
10;4;15
11;7;101
12;6;13
13;3;101
14;1;12
15;6;202
16;5;33
17;2;11
18;8;23
19;1;14
20;4;123
21;5;102
22;3;402
23;3;2
24;5;13
25;2;14
26;1;7
27;2;103
28;6;11
29;2;3
30;4;12
31;4;110
32;1;34
33;1;23
34;3;122
35;4;103
36;0;13
37;4;12
38;3;115
39;3;14
40;3;33
41;2;120
42;2;14
43;3;19
44;1;102
45;2;13
46;2;12
47;1;14
48;1;202
49;1;11
50;1;12
