variable;register;weight
1;1;13
2;6;4
3;7;112
4;8;103
5;1;13
6;3;6
7;6;206
8;3;101
9;1;3
10;7;15
11;8;101
12;2;13
13;4;101
14;3;12
15;1;202
16;3;33
17;3;11
18;2;23
19;5;14
20;7;123
21;1;102
22;4;402
23;5;2
24;1;13
25;5;14
26;8;7
27;3;103
28;6;11
29;3;3
30;8;12
31;8;110
32;7;34
33;2;23
34;2;122
35;5;103
36;6;13
37;3;12
38;4;115
39;5;14
40;4;33
41;7;120
42;0;14
43;4;19
44;5;102
45;2;13
46;8;12
47;2;14
48;5;202
49;4;11
50;2;12
