variable;register;weight
1;1;13
2;3;4
3;4;112
4;5;103
5;5;13
6;2;6
7;3;206
8;8;101
9;4;3
10;7;15
11;7;101
12;2;13
13;2;101
14;3;12
15;3;202
16;2;33
17;6;11
18;7;23
19;5;14
20;6;123
21;7;102
22;2;402
23;1;2
24;2;13
25;1;14
26;8;7
27;3;103
28;4;11
29;8;3
30;5;12
31;5;110
32;2;34
33;1;23
34;8;122
35;0;103
36;8;13
37;2;12
38;6;115
39;7;14
40;4;33
41;7;120
42;1;14
43;6;19
44;6;102
45;6;13
46;8;12
47;5;14
48;4;202
49;5;11
50;3;12
